Date,Open,High,Low,Close
2020/12/28,22.110001,22.120001,21.15,21.700001
2020/12/29,21.610001,23.719999,20.99,23.08
2020/12/30,22.58,23.15,22.41,22.77
2020/12/31,22.99,23.25,21.24,22.75
2021/1/4,23.040001,29.190001,22.559999,26.969999
2021/1/5,26.940001,28.6,24.799999,25.34
2021/1/6,25.48,26.77,22.139999,25.07
2021/1/7,23.67,23.91,22.25,22.370001
2021/1/8,22.43,23.34,21.42,21.559999
2021/1/11,23.309999,24.809999,23.23,24.08
2021/1/12,23.49,25.15,22.83,23.33
2021/1/13,23.07,24.18,21.92,22.209999
2021/1/14,22.219999,23.469999,21.66,23.25
2021/1/15,23.52,25.799999,23.08,24.34
2021/1/19,23.030001,23.559999,22.530001,23.24
2021/1/20,22.82,22.860001,21.370001,21.58
2021/1/21,21.34,22.219999,21.09,21.32
2021/1/22,22.24,23.73,21.27,21.91
2021/1/25,22.309999,26.629999,22.200001,23.190001
2021/1/26,23.91,23.940001,22.549999,23.02
2021/1/27,23.82,37.209999,23.709999,37.209999
2021/1/28,33.25,36.290001,27.389999,30.209999
2021/1/29,35.16,37.509998,29.24,33.09
2021/2/1,31.450001,33.959999,29.030001,30.24
2021/2/2,28.01,28.08,25.309999,25.559999
2021/2/3,24.59,25.43,22.91,22.91
2021/2/4,23.440001,23.440001,21.68,21.77
2021/2/5,21.99,22.16,20.860001,20.870001
2021/2/8,21.889999,22.07,21.23,21.24
2021/2/9,21.57,22.26,20.65,21.629999
2021/2/10,21.639999,23.85,19.690001,21.99
2021/2/11,22.09,23.25,21.110001,21.25
2021/2/12,21.6,22.450001,19.950001,19.969999
2021/2/16,21.129999,22.459999,20.879999,21.459999
2021/2/17,22.02,23.440001,21.09,21.5
2021/2/18,21.98,24.23,21.799999,22.49
2021/2/19,23.1,23.190001,20.84,22.049999
2021/2/22,24.459999,25.09,21.959999,23.450001
2021/2/23,22.82,27.01,22.5,23.110001
2021/2/24,23.76,25.040001,21.309999,21.34
2021/2/25,21.73,31.16,21.52,28.889999
2021/2/26,28.73,30.82,25.23,27.950001
2021/3/1,25.200001,25.389999,23.17,23.35
2021/3/2,23.58,24.6,22.799999,24.1
2021/3/3,22.799999,26.790001,22.450001,26.67
2021/3/4,26.52,31.9,24.93,28.57
2021/3/5,29.48,30.030001,24.33,24.66
2021/3/8,27.610001,28.389999,24.07,25.469999
2021/3/9,25.110001,25.25,22.9,24.030001
2021/3/10,23.76,23.870001,22.379999,22.559999
2021/3/11,22.5,22.5,21.450001,21.91
2021/3/12,22.57,22.99,20.629999,20.690001
2021/3/15,21.84,21.860001,19.870001,20.030001
2021/3/16,20.139999,20.309999,19.33,19.790001
2021/3/17,20.1,20.950001,19.18,19.23
2021/3/18,18.950001,22.6,18.950001,21.58
2021/3/19,21.43,23.17,19.9,20.950001
2021/3/22,21.91,22.290001,18.870001,18.879999
2021/3/23,19.459999,21.58,18.799999,20.299999
2021/3/24,20.639999,21.49,19.299999,21.200001
2021/3/25,20.799999,23.549999,19.809999,19.809999
2021/3/26,19.32,21.49,18.68,18.860001
2021/3/29,20.4,21.6,19.42,20.74
2021/3/30,20.76,21.75,19.469999,19.610001
2021/3/31,19.799999,20.110001,18.85,19.4
2021/4/1,18.6,18.639999,17.290001,17.33
2021/4/5,18.16,18.4,17.35,17.91
2021/4/6,18.07,18.299999,17.370001,18.120001
2021/4/7,17.99,18.17,16.870001,17.16
2021/4/8,16.92,17.360001,16.549999,16.950001
2021/4/9,17.049999,17.34,16.200001,16.690001
2021/4/12,17.43,17.91,16.809999,16.91
2021/4/13,16.99,17.860001,16.43,16.65
2021/4/14,16.709999,17.690001,15.38,16.99
2021/4/15,16.780001,16.92,15.94,16.57
2021/4/16,16.65,16.879999,16.049999,16.25
2021/4/19,17.040001,18.610001,16.780001,17.290001
2021/4/20,17.360001,19.700001,17.24,18.68
2021/4/21,18.48,19.290001,16.91,17.5
2021/4/22,17.280001,19.9,16.99,18.709999
2021/4/23,18.559999,18.780001,16.799999,17.33
2021/4/26,17.940001,18.17,16.870001,17.639999
2021/4/27,17.620001,18.16,16.969999,17.559999
2021/4/28,17.469999,17.84,16.67,17.280001
2021/4/29,16.879999,18.870001,16.77,17.610001
2021/4/30,17.67,19.25,17.639999,18.610001
2021/5/3,18.65,19.120001,17.799999,18.309999
2021/5/4,18.16,21.85,18.110001,19.48
2021/5/5,18.84,19.58,17.889999,19.15
2021/5/6,18.41,20.6,18.209999,18.389999
2021/5/7,18.450001,18.57,16.68,16.690001
2021/5/10,17.34,19.75,17.07,19.66
2021/5/11,21.17,23.73,20.709999,21.84
2021/5/12,22.42,28.379999,21.66,27.59
2021/5/13,26.030001,28.93,22.23,23.129999
2021/5/14,21.77,22.1,18.66,18.809999
2021/5/17,19.889999,21.58,19.67,19.719999
2021/5/18,18.889999,21.450001,18.809999,21.34
2021/5/19,22.459999,25.959999,21.879999,22.18
2021/5/20,22.33,23.5,20.190001,20.67
2021/5/21,20.42,20.889999,19.530001,20.15
2021/5/24,20.5,20.51,18.379999,18.4
2021/5/25,18.35,19.290001,16.870001,18.84
2021/5/26,18.370001,18.92,17.35,17.360001
2021/5/27,18.030001,18.17,16.52,16.74
2021/5/28,16.799999,16.860001,15.9,16.76
